0,dn,dn,s,dn,dn,ls,lms,dn,mls,dn,dn,dn
0,dn,dn,dn,lml,dn,dn,dn,dn,dn,dn,lms,dn
0,ms,s,dn,dn,dn,ls,dn,dn,mlms,dn,dn,dn
1,dn,dn,mls,dn,dn,dn,dn,dn,lml,s,dn,dn
1,dn,dn,vs,dn,dn,dn,dn,dn,lm,dn,dn,dn
1,dn,ll,dn,dn,dn,dn,dn,dn,dn,dn,dn,dn
2,dn,dn,dn,dn,lm,dn,dn,dn,dn,mls,dn,dn
2,dn,dn,dn,dn,dn,mls,dn,dn,dn,dn,lm,dn
2,dn,dn,dn,lm,dn,mls,dn,dn,mlms,dn,dn,dn
3,dn,mlms,dn,dn,dn,mls,mls,dn,dn,dn,dn,dn
3,vm,dn,dn,dn,ml,dn,dn,dn,dn,dn,dn,dn
3,em,dn,dn,dn,dn,dn,dn,dn,dn,dn,lms,dn
4,dn,es,dn,dn,dn,dn,dn,dn,es,ls,vs,dn
4,dn,dn,dn,lm,dn,dn,vs,dn,dn,dn,dn,dn
4,dn,dn,m,dn,dn,lm,dn,dn,dn,dn,ls,dn
5,dn,dn,mls,dn,dn,lml,dn,dn,dn,dn,dn,dn
5,dn,dn,dn,ls,dn,lm,dn,dn,dn,dn,mls,dn
5,lml,dn,ls,mls,dn,dn,dn,dn,dn,dn,dn,dn
6,dn,lms,ls,dn,dn,dn,dn,dn,dn,mls,dn,dn
6,dn,ms,dn,lms,dn,ls,dn,dn,dn,dn,dn,dn
6,dn,lms,dn,dn,dn,mlms,dn,ls,dn,dn,dn,dn
7,dn,dn,dn,dn,mls,dn,dn,dn,dn,dn,lml,dn
7,dn,dn,dn,dn,dn,ls,dn,dn,dn,mls,ll,dn
7,dn,dn,dn,dn,dn,dn,vs,dn,dn,dn,lm,dn
8,dn,dn,dn,dn,mls,dn,dn,lml,ls,dn,dn,dn
8,dn,dn,vms,dn,dn,dn,dn,dn,dn,es,lms,dn
8,dn,lml,dn,ls,dn,dn,dn,dn,dn,lms,dn,dn
9,dn,vs,dn,dn,dn,s,dn,dn,dn,mls,ls,dn
9,dn,dn,vms,es,dn,dn,dn,dn,dn,dn,lms,dn
9,dn,dn,dn,dn,lms,dn,dn,dn,lm,dn,dn,dn
